Student Code Name,IEP Goal with Student Code Name,Student Code IEP Goal Code,Measurement Type,Class,Goal Area,Case Manager,Teacher to Collect Data,Teacher to Collect Data Email Address,IEP Due,Eval Due
S001,S001 will increase his basic reading skills to read multi-syllabic (3 or more syllables) words with 80% accuracy by the next annual IEP.,S001.11.1,Percent,Language Arts 3 SC,Basic Reading,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/16/2026,10/8/2027
S001,S001 will increase his reading comprehension skills by understanding context cues to define unknown words by using clues in the sentence or the surrounding sentences with 75% accuracy by the next annual IEP.,S001.11.2,Percent,Language Arts 3 SC,Reading Comprehension,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/16/2026,10/8/2027
S001,S001 will use correct subject and verb agreement in his written assignments. Baseline: 60%,S001.11.3-1,Percent,Language Arts 3 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/16/2026,10/8/2027
S001,Appropriate use and differentiated transition words. Baseline 70%,S001.11.3-2,Percent,Language Arts 3 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/16/2026,10/8/2027
S001,S001 will add 1-2 details to reinforce his topic. Baseline: 65%,S001.11.3-3,Percent,Language Arts 3 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/16/2026,10/8/2027
S002,"S002 will increase her written expression skills by constructing a response with a claim, adding details, evidence and a conclusion with 80% accuracy.",S002.11.1,Percent,Language Arts 3 SC,Written Expression,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,9/18/2026,9/5/2027
S002,"S002 will increase her reading comprehension skills by answering comprehension questions requiring higher order thinking skills ( making inferencing, evaluating information , analyzing text and supporting details) with a 70% accuracy.",S002.11.2,Percent,Language Arts 3 SC,Reading Comprehension,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,9/18/2026,9/5/2027
S003,"In the area of Written Expression, S003 will increase these skills by including supporting details and conclusion sentence when writing a paragraph with 50% accuracy by the next annual IEP review.",S003.11.1,Percent,Language Arts 3 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/6/2026,9/25/2027
S004,"S004 will increase his Behavior skills and will limit loud noises to no more than one occurrence per class period and, during brief teacher check‑ins when needed, accept ownership for his behavior without making excuses, in 3 of 5 data collections.",S004.11.1,Percent,Language Arts 3 SC,Behavior,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,9/18/2026,9/5/2027
S004,"S004 will increase his Reading Comprehension skills and will make an inference, answering WH questioins and predictions adapted text and support it with at least one piece of textual evidence with 70% by the next annual IEP review.",S004.11.2,Percent,Language Arts 3 SC,Reading Comprehension,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,9/18/2026,9/5/2027
S004,"S004 will increase his Written Expression skills and when given a prompt and organizer, S004 will compose a five‑sentence paragraph (topic, three details, concluding sentence) that stays on topic, scoring at least 50% by the next annual IEP review.",S004.11.3,Percent,Language Arts 3 SC,Written Expression,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,9/18/2026,9/5/2027
S004,"S004 will increase his Math Calculation skills by solving multi-step math problems by using the correct operations (addition, subtraction, multiplication, or division) without assistance with 60% accuracy by the next annual IEP review.",S004.11.4,Percent,Geometry SC,Math Calculation,Dan Reinisch,Sara Koelsch,sarakoelsch@winfieldriv.us,9/18/2026,9/5/2027
S005,"S005 will increase his Written Expression skills by constructing a response with a claim, evidence, and a conclusion with 70% accuracy by the next annual IEP review.",S005.11.1,Percent,Language Arts 3 SC,Written Expression,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,2/18/26,3/9/2026
